gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2440902242	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Acidobacteria:Acidobacteriia	Bacteria	Acidobacteriota	Acidobacteriae						CLASS	Acidobacteriia	Acidobacteriia					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													11020168		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.406Z		
2440902210	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Verrucomicrobia:Verrucomicrobiae:Verrucomicrobiales:Verrucomicrobiaceae:Luteolibacter	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Luteolibacter			GENUS	Luteolibacter Yoon et al., 2008	Luteolibacter					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													4575424		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.226Z		
2440901775	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Proteobacteria:Betaproteobacteria:Rhodocyclales	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales					ORDER	Rhodocyclales	Rhodocyclales					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													651		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:04.958Z		
2440901765	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae				FAMILY	Gallionellaceae	Gallionellaceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													8930		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.103Z		
2440901743	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364110_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Methylophilaceae:Methylotenera	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera			GENUS	Methylotenera Kalyuzhnaya et al., 2006	Methylotenera					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													4895262		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.228Z		
2440901697	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Proteobacteria:Deltaproteobacteria	Bacteria	Proteobacteria							PHYLUM	Proteobacteria	Deltaproteobacteria					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													111		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.333Z		TAXON_MATCH_HIGHERRANK
2440901363	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::candidate_division_Zixibacteria	Bacteria								KINGDOM	Bacteria	candidate division_Zixibacteria					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.284Z		TAXON_MATCH_HIGHERRANK
2440901179	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364110_Bacteria::Proteobacteria:Gammaproteobacteria:Methylococcales:Methylococcaceae:Methyloprofundus	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methyloprofundus			GENUS	Methyloprofundus Tavormina et al., 2015	Methyloprofundus					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													7815063		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.334Z		
2440901085	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364110_Bacteria::Proteobacteria:Alphaproteobacteria:Caulobacterales:Caulobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae				FAMILY	Caulobacteraceae	Caulobacteraceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													4723		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.419Z		
2440900969	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae:Gallionella	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Gallionella			GENUS	Gallionella Ehrenberg, 1838	Gallionella					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													7681738		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.473Z		
2440900967	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Proteobacteria:Deltaproteobacteria:Syntrophobacterales	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales					ORDER	Syntrophobacterales	Syntrophobacterales					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													656		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.440Z		
2440900965	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Bacteroidetes:Flavobacteriia:Flavobacteriales:Flavobacteriaceae:Flavobacterium:Flavobacterium_sp._W2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium			GENUS	Flavobacterium Bergey et al., 1923	Flavobacterium sp._W2					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3221328		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.194Z		TAXON_MATCH_HIGHERRANK
2440900836	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364110_Bacteria::Bacteroidetes:Bacteroidia:Marinilabiliales:Prolixibacteraceae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae				FAMILY	Prolixibacteraceae	Prolixibacteraceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													9190809		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.332Z		
2440900820	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Proteobacteria:Betaproteobacteria:Burkholderiales:Comamonadaceae:Hydrogenophaga	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga			GENUS	Hydrogenophaga Willems et al., 1989	Hydrogenophaga					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3220160		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.376Z		
2440900755	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Bacteroidetes:Flavobacteriia:Flavobacteriales:Flavobacteriaceae:Flavobacterium	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium			GENUS	Flavobacterium Bergey et al., 1923	Flavobacterium					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3221328		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.432Z		
2440900735	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Bacteroidetes:Chitinophagia:Chitinophagales:Chitinophagaceae	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae				FAMILY	Chitinophagaceae	Chitinophagaceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													4903787		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.172Z		
2440900703	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Proteobacteria:Betaproteobacteria:Burkholderiales::Ideonella:Ideonella_sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ideonella			GENUS	Ideonella Malmqvist et al., 1994	Ideonella sp.					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3220025		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.028Z		
